
2007, 11, 1, -33.901, -70.449, 3.1
2007, 10, 31, -33.126, -70.31, 2.6
2007, 10, 30, -33.192, -70.939, 3.3
2007, 10, 29, -33.856, -70.232, 2.8
2007, 10, 24, -33.386, -70.257, 2.6
2007, 10, 20, -33.453, -70.504, 3.5
2007, 10, 7, -33.317, -70.402, 2.9
2007, 10, 3, -33.029, -70.036, 3.1
2007, 10, 2, -33.132, -70.343, 2.6
2007, 9, 30, -33.884, -70.791, 4.7
2007, 9, 26, -33.893, -70.792, 2.6
2007, 9, 22, -33.982, -70.889, 2.7
2007, 9, 20, -33.704, -70.941, 2.6
2007, 9, 20, -33.207, -70.6, 2.5
2007, 9, 15, -33.452, -70.053, 3.2
2007, 9, 14, -33.23, -70.338, 2.5
2007, 9, 12, -33.628, -70.613, 2.5
2007, 9, 5, -33.774, -70.375, 2.6
2007, 9, 1, -33.569, -70.555, 2.7
2007, 8, 29, -33.958, -70.35, 2.6
2007, 8, 22, -33.734, -70.787, 2.5
2007, 8, 21, -33.072, -70.032, 2.8
2007, 8, 18, -33.48, -70.039, 3.4
2007, 8, 16, -33.005, -70.717, 2.7
2007, 8, 15, -33.275, -70.398, 2.5
2007, 8, 15, -33.464, -70.034, 3.1
2007, 8, 1, -33.946, -70.886, 2.8
2007, 7, 29, -33.298, -70.232, 2.9
2007, 7, 26, -33.287, -70.4, 2.6
2007, 7, 25, -33.992, -70.071, 2.5
2007, 7, 23, -33.314, -70.589, 2.5
2007, 7, 21, -33.047, -70.23, 3.1
2007, 7, 16, -33.97, -70.848, 2.7
2007, 7, 15, -33.13, -70.653, 3.3
2007, 7, 12, -33.649, -70.613, 2.8
2007, 7, 8, -33.582, -70.798, 2.5
2007, 7, 3, -33.249, -70.935, 3.1
2007, 6, 28, -33.757, -70.962, 3.2
2007, 6, 26, -33.402, -70.175, 2.9
2007, 6, 22, -33.926, -70.467, 2.9
2007, 6, 19, -33.202, -70.383, 2.7
2007, 6, 19, -33.652, -70.567, 3
2007, 6, 16, -33.987, -70.411, 2.8
2007, 6, 14, -33.153, -70.058, 2.7
2007, 6, 13, -33.162, -70.018, 3.2
2007, 6, 11, -33.15, -70.004, 3.2
2007, 6, 5, -33.939, -70.997, 2.7
2007, 5, 28, -33.62, -70.121, 3
2007, 5, 27, -33.641, -70.833, 2.7
2007, 5, 17, -33.875, -70.451, 2.6
2007, 5, 17, -33.325, -70.751, 2.5
2007, 5, 17, -33.815, -70.821, 3.2
2007, 5, 14, -33.059, -70.284, 2.7
2007, 5, 12, -33.416, -70.073, 3
2007, 5, 11, -33.567, -70.946, 2.9
2007, 5, 8, -33.356, -70.372, 2.8
2007, 5, 4, -33.202, -70.642, 3
2007, 5, 3, -33.015, -70.246, 2.6
2007, 5, 3, -33.232, -70.432, 3
2007, 4, 28, -33.196, -70.481, 2.7
2007, 4, 22, -33.484, -70.175, 4.1
2007, 4, 22, -33.44, -70.182, 2.7
2007, 4, 20, -33.094, -70.646, 2.9
2007, 4, 19, -33.806, -70.86, 2.6
2007, 4, 14, -33.701, -70.654, 2.7
2007, 4, 6, -33.072, -70.348, 2.6
2007, 4, 6, -33.775, -70.67, 2.5
2007, 4, 3, -33.448, -70.823, 2.8
2007, 3, 31, -33.564, -70.283, 3.5
2007, 3, 30, -33.243, -70.08, 4.3
2007, 3, 28, -33.692, -70.26, 2.5
2007, 3, 22, -33.69, -70.746, 2.6
2007, 3, 18, -33.14, -70.74, 2.8
2007, 3, 14, -33.621, -70.934, 2.5
2007, 3, 12, -33.876, -70.32, 2.5
2007, 3, 6, -33.657, -70.865, 2.8
2007, 3, 6, -33.6, -70.104, 2.9
2007, 2, 28, -33.191, -70.257, 2.9
2007, 2, 22, -33.922, -70.701, 3.1
2007, 2, 19, -33.411, -70.718, 2.9
2007, 2, 13, -33.113, -70.281, 2.9
2007, 2, 7, -33.994, -70.225, 2.9
2007, 2, 6, -33.674, -70.962, 3.1
2007, 2, 4, -33.677, -70.457, 2.9
2007, 1, 19, -33.017, -70.157, 2.5
2007, 1, 18, -33.121, -70.622, 4.2
2007, 1, 16, -33.004, -70.086, 3.3
2007, 1, 12, -33.667, -70.669, 3
2007, 1, 11, -33.702, -70.484, 3
2007, 1, 11, -33.316, -70.603, 2.5
2007, 1, 8, -33.713, -70.898, 2.7
2007, 1, 8, -33.347, -70.73, 3.4
2007, 1, 8, -33.193, -70.257, 4.3
2007, 1, 1, -33.876, -70.927, 2.7
2006, 12, 31, -33.357, -70.8, 2.5
2006, 12, 30, -33.64, -70.59, 2.5
2006, 12, 30, -33.662, -70.229, 2.8
2006, 12, 29, -33.904, -70.506, 2.9
2006, 12, 28, -33.713, -70.528, 2.5
2006, 12, 26, -33.416, -70.995, 3.8
2006, 12, 23, -33.182, -70.305, 3.7
2006, 12, 21, -33.815, -70.752, 2.8
2006, 12, 19, -33.196, -70.949, 3.2
2006, 12, 10, -33.963, -70.286, 2.7
2006, 12, 10, -33.598, -70.77, 2.5
2006, 12, 5, -33.147, -70.52, 2.9
2006, 12, 4, -33.181, -70.354, 2.8
2006, 12, 3, -33.373, -70.114, 2.6
2006, 12, 3, -33.783, -70.727, 3.3
2006, 12, 1, -33.834, -70.674, 2.5
2006, 12, 1, -33.125, -70.319, 2.9
2006, 12, 1, -33.126, -70.15, 3.3
2006, 11, 27, -33.232, -70.827, 3
2006, 11, 23, -33.785, -70.275, 3.2
2006, 11, 23, -33.572, -70.085, 3.1
2006, 11, 22, -33.803, -70.759, 2.7
2006, 11, 14, -33.474, -70.697, 2.9
2006, 11, 13, -33.307, -70.213, 3.2
2006, 11, 13, -33.476, -70.688, 3.1
2006, 11, 6, -33.624, -70.217, 2.7
2006, 11, 3, -33.306, -70.794, 2.5
2006, 10, 30, -33.652, -70.264, 3
2006, 10, 28, -33.442, -70.435, 2.6
2006, 10, 25, -33.163, -70.808, 2.9
2006, 10, 19, -33.922, -70.39, 3.6
2006, 10, 5, -33.484, -70.959, 3.1
2006, 10, 5, -33.771, -70.558, 3.4
2006, 10, 3, -33.999, -70.521, 3.1
2006, 10, 3, -33.635, -70.134, 2.5
2006, 10, 3, -33.265, -70.867, 3.1
2006, 10, 1, -33.142, -70.268, 3.1
2006, 9, 22, -33.524, -70.854, 3.3
2006, 9, 22, -33.755, -70.829, 2.7
2006, 9, 19, -33.945, -70.483, 2.7
2006, 9, 17, -33.149, -70.272, 3
2006, 9, 12, -33.584, -70.634, 3.3
2006, 9, 12, -33.144, -70.253, 2.5
2006, 9, 11, -33.3, -70.54, 2.6
2006, 9, 7, -33.397, -70.149, 2.6
2006, 9, 3, -33.215, -70.43, 2.5
2006, 9, 1, -33.651, -70.338, 2.7
2006, 9, 1, -33.121, -70.242, 2.5
2006, 8, 31, -33.121, -70.914, 2.5
2006, 8, 31, -33.487, -70.256, 3.2
2006, 8, 27, -33.925, -70.476, 2.8
2006, 8, 25, -33.565, -70.646, 2.6
2006, 8, 23, -33.545, -70.271, 2.6
2006, 8, 21, -33.507, -70.248, 2.6
2006, 8, 13, -33.235, -70.71, 3.3
2006, 8, 10, -33.389, -70.125, 3
2006, 8, 6, -33.048, -70.922, 3.8
2006, 8, 3, -33.583, -70.627, 2.6
2006, 7, 27, -33.735, -70.425, 3.1
2006, 7, 22, -33.884, -70.448, 2.7
2006, 7, 21, -33.012, -70.204, 2.8
2006, 7, 20, -33.199, -70.557, 2.6
2006, 7, 16, -33.13, -70.239, 3.5
2006, 7, 16, -33.286, -70.321, 3.3
2006, 7, 12, -33.277, -70.282, 3.1
2006, 7, 7, -33.077, -70.556, 4
2006, 7, 6, -33.192, -70.541, 2.5
2006, 6, 28, -33.622, -70.065, 2.9
2006, 6, 27, -33.429, -70.715, 2.6
2006, 6, 25, -33.216, -70.586, 2.5
2006, 6, 20, -33.34, -70.122, 2.6
2006, 6, 18, -33.815, -70.405, 2.9
2006, 6, 18, -33.538, -70.386, 2.7
2006, 6, 15, -33.989, -70.198, 4
2006, 6, 10, -33.433, -70.179, 2.5
2006, 6, 9, -33.023, -70.338, 2.6
2006, 6, 6, -33.951, -70.316, 3
2006, 6, 3, -33.115, -70.132, 3.4
2006, 6, 2, -33.299, -70.352, 3.6
2006, 5, 30, -33.098, -70.273, 2.9
2006, 5, 29, -33.895, -70.713, 2.5
2006, 5, 27, -33.069, -70.568, 2.8
2006, 5, 13, -33.537, -70.325, 3
2006, 5, 5, -33.631, -70.059, 3.2
2006, 5, 4, -33.618, -70.049, 2.8
2006, 5, 3, -33.595, -70.904, 2.8
2006, 5, 1, -33.498, -70.569, 2.5
2006, 4, 28, -33.011, -70.434, 2.5
2006, 4, 25, -33.49, -70.101, 2.9
2006, 4, 13, -33.137, -70.843, 2.7
2006, 4, 9, -33.205, -70.119, 2.7
2006, 4, 4, -33.08, -70.645, 2.7
2006, 2, 5, -33.498, -70.635, 2.5
2006, 2, 5, -33.386, -70.395, 3
2006, 1, 27, -33.13, -70.273, 2.6
2006, 1, 23, -33.15, -70.533, 3.3
2006, 1, 23, -33.779, -70.812, 3.1
2006, 1, 21, -33.497, -70.223, 2.9
2006, 1, 18, -33.947, -70.487, 2.6
2006, 1, 16, -33.218, -70.564, 3.9
2006, 1, 16, -33.859, -70.857, 3.6
2006, 1, 12, -33.184, -70.297, 2.6
2006, 1, 10, -33.162, -70.306, 2.5
2006, 1, 10, -33.886, -70.354, 2.6
2006, 1, 10, -33.025, -70.255, 3.5
2006, 1, 8, -33.495, -70.586, 3
2006, 1, 6, -33.077, -70.289, 3.4
2006, 1, 5, -33.14, -70.278, 2.7
2006, 1, 4, -33.251, -70.127, 3.5
2006, 1, 3, -33.261, -70.539, 3
2005, 12, 19, -33.421, -70.08, 2.6
2005, 12, 17, -33.47, -70.495, 3
2005, 12, 13, -33.429, -70.363, 2.7
2005, 12, 9, -33.123, -70.227, 2.6
2005, 12, 9, -33.456, -70.145, 3.3
2005, 11, 27, -33.906, -70.367, 2.5
2005, 11, 17, -33.835, -70.469, 3.1
2005, 11, 14, -33.135, -70.865, 3.3
2005, 11, 10, -33.689, -70.257, 3
2005, 11, 10, -33.22, -70.093, 3.1
2005, 11, 9, -33.932, -70.604, 3.1
2005, 11, 9, -33.311, -70.134, 3.7
2005, 10, 30, -33.694, -70.924, 2.5
2005, 10, 29, -33.228, -70.75, 2.9
2005, 10, 25, -33.388, -70.589, 2.5
2005, 10, 25, -33.523, -70.951, 3.3
2005, 10, 25, -33.64, -70.394, 2.7
2005, 10, 16, -33.695, -70.604, 2.9
2005, 10, 15, -33.013, -70.995, 2.6
2005, 10, 11, -33.64, -70.406, 2.6
2005, 10, 10, -33.042, -70.258, 2.5
2005, 10, 9, -33.561, -70.373, 2.7
2005, 10, 4, -33.273, -70.746, 2.6
